Starting tests...
acl_groupfile(_alpha0, _beta0, _gamma0, r, r) -> (0, 1, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma0, r, r) -> (0, 1, 1) OK
acl_groupfile(_alpha2, _beta0, _gamma0, r, r) -> (0, 1, 1) OK
acl_groupfile(_alpha3, _beta0, _gamma0, r, r) -> (1, 1, 1) OK
acl_groupfile(_alpha0, _beta0, _gamma0, r, rw) -> (0, 0, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma0, r, rw) -> (0, 1, 1) OK
acl_groupfile(_alpha2, _beta0, _gamma0, r, rw) -> (0, 0, 1) OK
acl_groupfile(_alpha3, _beta0, _gamma0, r, rw) -> (1, 1, 1) OK
acl_groupfile(_alpha0, _beta0, _gamma0, r, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha1, _beta0, _gamma0, r, rx) -> (0, 1, 127) OK
acl_groupfile(_alpha2, _beta0, _gamma0, r, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha3, _beta0, _gamma0, r, rx) -> (1, 1, 127) OK
acl_groupfile(_alpha0, _beta0, _gamma0, r, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha1, _beta0, _gamma0, r, rwx) -> (0, 1, 127) OK
acl_groupfile(_alpha2, _beta0, _gamma0, r, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta0, _gamma0, r, rwx) -> (1, 1, 127) OK
acl_groupfile(_alpha0, _beta0, _gamma0, r, w) -> (0, 0, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma0, r, w) -> (0, 1, 1) OK
acl_groupfile(_alpha2, _beta0, _gamma0, r, w) -> (1, 0, 1) OK
acl_groupfile(_alpha3, _beta0, _gamma0, r, w) -> (1, 1, 1) OK
acl_groupfile(_alpha0, _beta0, _gamma0, r, wx) -> (0, 0, 0) OK
acl_groupfile(_alpha1, _beta0, _gamma0, r, wx) -> (0, 1, 127) OK
acl_groupfile(_alpha2, _beta0, _gamma0, r, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha3, _beta0, _gamma0, r, wx) -> (1, 1, 127) OK
acl_groupfile(_alpha0, _beta0, _gamma0, r, x) -> (0, 1, 0) OK
acl_groupfile(_alpha1, _beta0, _gamma0, r, x) -> (0, 1, 127) OK
acl_groupfile(_alpha2, _beta0, _gamma0, r, x) -> (1, 1, 1) OK
acl_groupfile(_alpha3, _beta0, _gamma0, r, x) -> (1, 1, 127) OK
acl_groupfile(_alpha0, _beta0, _gamma1, r, r) -> (0, 1, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma1, r, r) -> (0, 1, 1) OK
acl_groupfile(_alpha2, _beta0, _gamma1, r, r) -> (1, 1, 1) OK
acl_groupfile(_alpha3, _beta0, _gamma1, r, r) -> (0, 1, 1) OK
acl_groupfile(_alpha0, _beta0, _gamma1, r, rw) -> (0, 1, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma1, r, rw) -> (0, 0, 1) OK
acl_groupfile(_alpha2, _beta0, _gamma1, r, rw) -> (1, 1, 1) OK
acl_groupfile(_alpha3, _beta0, _gamma1, r, rw) -> (0, 0, 1) OK
acl_groupfile(_alpha0, _beta0, _gamma1, r, rx) -> (0, 1, 127) OK
acl_groupfile(_alpha1, _beta0, _gamma1, r, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha2, _beta0, _gamma1, r, rx) -> (1, 1, 127) OK
acl_groupfile(_alpha3, _beta0, _gamma1, r, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha0, _beta0, _gamma1, r, rwx) -> (0, 1, 127) OK
acl_groupfile(_alpha1, _beta0, _gamma1, r, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha2, _beta0, _gamma1, r, rwx) -> (1, 1, 127) OK
acl_groupfile(_alpha3, _beta0, _gamma1, r, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta0, _gamma1, r, w) -> (0, 1, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma1, r, w) -> (0, 0, 1) OK
acl_groupfile(_alpha2, _beta0, _gamma1, r, w) -> (1, 1, 1) OK
acl_groupfile(_alpha3, _beta0, _gamma1, r, w) -> (1, 0, 1) OK
acl_groupfile(_alpha0, _beta0, _gamma1, r, wx) -> (0, 1, 127) OK
acl_groupfile(_alpha1, _beta0, _gamma1, r, wx) -> (0, 0, 0) OK
acl_groupfile(_alpha2, _beta0, _gamma1, r, wx) -> (1, 1, 127) OK
acl_groupfile(_alpha3, _beta0, _gamma1, r, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha0, _beta0, _gamma1, r, x) -> (0, 1, 127) OK
acl_groupfile(_alpha1, _beta0, _gamma1, r, x) -> (0, 1, 0) OK
acl_groupfile(_alpha2, _beta0, _gamma1, r, x) -> (1, 1, 127) OK
acl_groupfile(_alpha3, _beta0, _gamma1, r, x) -> (1, 1, 1) OK
acl_groupfile(_alpha0, _beta0, _gamma0, rw, r) -> (0, 0, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma0, rw, r) -> (0, 0, 1) OK
acl_groupfile(_alpha2, _beta0, _gamma0, rw, r) -> (0, 1, 1) OK
acl_groupfile(_alpha3, _beta0, _gamma0, rw, r) -> (1, 1, 1) OK
acl_groupfile(_alpha0, _beta0, _gamma0, rw, rw) -> (0, 0, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma0, rw, rw) -> (0, 0, 1) OK
acl_groupfile(_alpha2, _beta0, _gamma0, rw, rw) -> (0, 0, 1) OK
acl_groupfile(_alpha3, _beta0, _gamma0, rw, rw) -> (1, 1, 1) OK
acl_groupfile(_alpha0, _beta0, _gamma0, rw, rx) -> (0, 0, 0) OK
acl_groupfile(_alpha1, _beta0, _gamma0, rw, rx) -> (0, 0, 127) OK
acl_groupfile(_alpha2, _beta0, _gamma0, rw, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha3, _beta0, _gamma0, rw, rx) -> (1, 1, 127) OK
acl_groupfile(_alpha0, _beta0, _gamma0, rw, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha1, _beta0, _gamma0, rw, rwx) -> (0, 0, 127) OK
acl_groupfile(_alpha2, _beta0, _gamma0, rw, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta0, _gamma0, rw, rwx) -> (1, 1, 127) OK
acl_groupfile(_alpha0, _beta0, _gamma0, rw, w) -> (0, 0, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma0, rw, w) -> (0, 0, 1) OK
acl_groupfile(_alpha2, _beta0, _gamma0, rw, w) -> (1, 0, 1) OK
acl_groupfile(_alpha3, _beta0, _gamma0, rw, w) -> (1, 1, 1) OK
acl_groupfile(_alpha0, _beta0, _gamma0, rw, wx) -> (0, 0, 0) OK
acl_groupfile(_alpha1, _beta0, _gamma0, rw, wx) -> (0, 0, 127) OK
acl_groupfile(_alpha2, _beta0, _gamma0, rw, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha3, _beta0, _gamma0, rw, wx) -> (1, 1, 127) OK
acl_groupfile(_alpha0, _beta0, _gamma0, rw, x) -> (0, 0, 0) OK
acl_groupfile(_alpha1, _beta0, _gamma0, rw, x) -> (0, 0, 127) OK
acl_groupfile(_alpha2, _beta0, _gamma0, rw, x) -> (1, 1, 1) OK
acl_groupfile(_alpha3, _beta0, _gamma0, rw, x) -> (1, 1, 127) OK
acl_groupfile(_alpha0, _beta0, _gamma1, rw, r) -> (0, 0, 1) OK
