Starting tests...
acl_userdir(_alpha0, r, r, r, r) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, r, r) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, r, r) -> (0, 1, 1) OK
acl_userdir(_alpha3, r, r, r, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, r, r, r, rw) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, r, rw) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, r, rw) -> (0, 1, 1) OK
acl_userdir(_alpha3, r, r, r, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, r, r, r, rx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, r, rx) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, r, rx) -> (0, 1, 1) OK
acl_userdir(_alpha3, r, r, r, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, r, r, r, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, r, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, r, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha3, r, r, r, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, r, r, r, w) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, r, w) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, r, w) -> (0, 1, 1) OK
acl_userdir(_alpha3, r, r, r, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, r, r, r, wx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, r, wx) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, r, wx) -> (0, 1, 1) OK
acl_userdir(_alpha3, r, r, r, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, r, r, r, x) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, r, x) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, r, x) -> (0, 1, 1) OK
acl_userdir(_alpha3, r, r, r, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, r, r, rw, r) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, rw, r) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, rw, r) -> (0, 0, 1) OK
acl_userdir(_alpha3, r, r, rw, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, r, r, rw, rw) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, rw, rw) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, rw, rw) -> (0, 0, 1) OK
acl_userdir(_alpha3, r, r, rw, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, r, r, rw, rx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, rw, rx) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, rw, rx) -> (0, 0, 1) OK
acl_userdir(_alpha3, r, r, rw, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, r, r, rw, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, rw, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, rw, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha3, r, r, rw, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, r, r, rw, w) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, rw, w) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, rw, w) -> (0, 0, 1) OK
acl_userdir(_alpha3, r, r, rw, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, r, r, rw, wx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, rw, wx) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, rw, wx) -> (0, 0, 1) OK
acl_userdir(_alpha3, r, r, rw, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, r, r, rw, x) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, rw, x) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, rw, x) -> (0, 0, 1) OK
acl_userdir(_alpha3, r, r, rw, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, r, r, rx, r) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, rx, r) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, rx, r) -> (0, 1, 0) OK
acl_userdir(_alpha3, r, r, rx, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, r, r, rx, rw) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, rx, rw) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, rx, rw) -> (0, 1, 0) OK
acl_userdir(_alpha3, r, r, rx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, r, r, rx, rx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, rx, rx) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, rx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha3, r, r, rx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, r, r, rx, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, rx, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, rx, rwx) -> (0, 1, 0) OK
acl_userdir(_alpha3, r, r, rx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, r, r, rx, w) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, rx, w) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, rx, w) -> (0, 1, 0) OK
acl_userdir(_alpha3, r, r, rx, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, r, r, rx, wx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, rx, wx) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, rx, wx) -> (0, 1, 0) OK
acl_userdir(_alpha3, r, r, rx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, r, r, rx, x) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, rx, x) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, rx, x) -> (0, 1, 0) OK
acl_userdir(_alpha3, r, r, rx, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, r, r, rwx, r) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, rwx, r) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, rwx, r) -> (0, 0, 0) OK
acl_userdir(_alpha3, r, r, rwx, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, r, r, rwx, rw) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, rwx, rw) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, rwx, rw) -> (0, 0, 0) OK
acl_userdir(_alpha3, r, r, rwx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, r, r, rwx, rx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, rwx, rx) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, rwx, rx) -> (0, 0, 0) OK
acl_userdir(_alpha3, r, r, rwx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, r, r, rwx, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, rwx, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, rwx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha3, r, r, rwx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, r, r, rwx, w) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, rwx, w) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, rwx, w) -> (0, 0, 0) OK
acl_userdir(_alpha3, r, r, rwx, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, r, r, rwx, wx) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, rwx, wx) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, rwx, wx) -> (0, 0, 0) OK
acl_userdir(_alpha3, r, r, rwx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, r, r, rwx, x) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, rwx, x) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, rwx, x) -> (0, 0, 0) OK
acl_userdir(_alpha3, r, r, rwx, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, r, r, w, r) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, w, r) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, w, r) -> (1, 0, 1) OK
acl_userdir(_alpha3, r, r, w, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, r, r, w, rw) -> (0, 1, 1) OK
acl_userdir(_alpha1, r, r, w, rw) -> (0, 1, 1) OK
acl_userdir(_alpha2, r, r, w, rw) -> (1, 0, 1) OK
